  Layer  Stave Chip     X         Y           Z        r         phi
    02    08    05   -3.0605    1.7838      2.3701   3.5424    2.6139
    02    08    06   -3.0595    1.7833      5.3864   3.5413    2.6139
    02    08    07   -3.0571    1.7824      8.4023   3.5388    2.6137
    02    08    08   -3.0565    1.7820     11.4154   3.5380    2.6137
    02    09    00   -3.4518    0.5683    -12.7210   3.4983    2.9784
    02    09    01   -3.4501    0.5677     -9.7026   3.4965    2.9785
    02    09    02   -3.4505    0.5668     -6.6848   3.4968    2.9788
    02    09    03   -3.4514    0.5666     -3.6650   3.4976    2.9789
    02    09    04   -3.4525    0.5673     -0.6473   3.4988    2.9787
    02    09    05   -3.4535    0.5675      2.3701   3.4998    2.9787
    02    09    06   -3.4537    0.5680      5.3864   3.5001    2.9786
    02    09    07   -3.4527    0.5691      8.4024   3.4993    2.9782
    02    09    08   -3.4511    0.5698     11.4154   3.4978    2.9780
    02    10    00   -3.5006   -0.7167    -12.6902   3.5732   -2.9396
    02    10    01   -3.4966   -0.7164     -9.6739   3.5693   -2.9395
    02    10    02   -3.4940   -0.7164     -6.6587   3.5667   -2.9394
    02    10    03   -3.4907   -0.7165     -3.6438   3.5635   -2.9391
    02    10    04   -3.4886   -0.7173     -0.6289   3.5616   -2.9388
    02    10    05   -3.4849   -0.7181      2.3860   3.5581   -2.9384
    02    10    06   -3.4807   -0.7173      5.4007   3.5539   -2.9384
    02    10    07   -3.4789   -0.7167      8.4163   3.5520   -2.9384
    02    10    08   -3.4769   -0.7153     11.4305   3.5497   -2.9387
    02    11    00   -3.0851   -1.9284    -12.6897   3.6382   -2.5829
    02    11    01   -3.0839   -1.9290     -9.6731   3.6375   -2.5826
    02    11    02   -3.0830   -1.9292     -6.6578   3.6368   -2.5825
    02    11    03   -3.0800   -1.9280     -3.6418   3.6337   -2.5823
    02    11    04   -3.0784   -1.9282     -0.6270   3.6324   -2.5820
    02    11    05   -3.0768   -1.9295      2.3882   3.6318   -2.5815
    02    11    06   -3.0744   -1.9303      5.4021   3.6301   -2.5809
    02    11    07   -3.0730   -1.9327      8.4181   3.6302   -2.5802
    02    11    08   -3.0710   -1.9331     11.4331   3.6288   -2.5798
    02    12    00   -2.3168   -2.9473    -12.6803   3.7489   -2.2370
    02    12    01   -2.3160   -2.9487     -9.6686   3.7495   -2.2366
